input_domain,naics_domain,flag_conference,flag_alexa,flag_yahoo,ecid,ind,ind_score,naics_2,naics_2_desc,naics_4,naics_4_desc,naics_6,naics_6_desc,naics_6_score,jj_corrections
ptc.com,ptc.com,null,null,1,1073941388,Computer Software,0.922224224,51,Information,5112,Software Publishers,511210,Software Publishers,0.994325459,
verint.com,verint.com,null,null,1,1075090769,Computer Software,0.798358023,51,Information,5112,Software Publishers,511210,Software Publishers,0.994211376,
davita.com,davita.com,null,null,1,1073849984,Hospital & Health Care,0.953731895,62,Health Care and Social Assistance,6214,Outpatient Care Centers,621492,Kidney Dialysis Centers,0.994160295,
adobe.com,adobe.com,null,1,1,1075822459,Computer Software,0.61799705,51,Information,5112,Software Publishers,511210,Software Publishers,0.993656576,
cadence.com,cadence.com,null,null,1,1075751541,Computer Hardware,0.978723049,51,Information,5112,Software Publishers,511210,Software Publishers,0.993584693,
taleo.net,taleo.net,null,1,null,1079260374,Information Technology and Services,0.76356715,51,Information,5112,Software Publishers,511210,Software Publishers,0.993568778,
hinghamsavings.com,hinghamsavings.com,null,null,1,1077205235,Financial Services,0.967186511,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.993520796,
vodafone.com,vodafone.com,null,null,1,1074880819,Telecommunications,0.990738332,51,Information,5173,Wired and Wireless Telecommunications Carriers,517312,Wireless Telecommunications Carriers (except Satellite),0.993402422,
cliftonsavings.com,cliftonsavings.com,null,null,1,1074159230,Financial Services,0.985472381,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.993389845,
deepwater.com,deepwater.com,null,null,1,1078624459,Oil & Energy,0.974107564,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213111,Drilling Oil and Gas Wells,0.993294239,
ultimatesoftware.com,ultimatesoftware.com,null,null,1,1080400549,Human Resources,0.551921189,51,Information,5112,Software Publishers,511210,Software Publishers,0.993267775,
galanegold.com,galanegold.com,null,null,1,1074266983,Mining & Metals,0.998717308,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.993249059,
reverso.net,reverso.net,null,1,null,1079779116,Translation and Localization,0.979997158,54,"Professional, Scientific, and Technical Services",5419,"Other Professional, Scientific, and Technical Services",541930,Translation and Interpretation Services,0.9932248,
redhat.com,redhat.com,null,null,1,1073961823,Computer Software,0.522762299,51,Information,5112,Software Publishers,511210,Software Publishers,0.992740572,
commvault.com,commvault.com,null,null,1,1077013974,Computer Software,0.787289202,51,Information,5112,Software Publishers,511210,Software Publishers,0.992451608,
pfsb-urbana.com,pfsb-urbana.com,null,null,1,1077562591,Information Technology and Services,0.717943251,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.992277861,
gray.tv,gray.tv,null,null,1,1082084688,Media and Entertainment,0.946901798,51,Information,5151,Radio and Television Broadcasting,515120,Television Broadcasting,0.992274106,
cameco.com,cameco.com,null,null,1,1075754558,Mining & Metals,0.972483099,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,0.992153466,
ca.com,ca.com,null,null,1,1076982558,Computer Software,0.791833639,51,Information,5112,Software Publishers,511210,Software Publishers,0.991970778,
eldoradogold.com,eldoradogold.com,null,null,1,1076449518,Mining & Metals,0.996365428,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.991925895,
vistagold.com,vistagold.com,null,null,1,1077154295,Mining & Metals,0.993001878,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.991814792,
microstrategy.com,microstrategy.com,null,null,1,1073859882,Computer Software,0.846612036,51,Information,5112,Software Publishers,511210,Software Publishers,0.991180718,
salesforce.com,salesforce.com,null,1,1,1074933921,Computer Software,0.569577575,51,Information,5112,Software Publishers,511210,Software Publishers,0.990475237,
usgeothermal.com,usgeothermal.com,null,null,1,1077470070,Oil & Energy,0.817539871,22,Utilities,2211,"Electric Power Generation, Transmission and Distribution",221116,Geothermal Electric Power Generation,0.990007997,
thejoint.com,thejoint.com,null,null,1,1075922609,"Health, Wellness and Fitness",0.623882055,62,Health Care and Social Assistance,6213,Offices of Other Health Practitioners,621310,Offices of Chiropractors,0.989850879,
kclife.com,kclife.com,null,null,1,1074261424,Insurance,0.900480807,52,Finance and Insurance,5241,Insurance Carriers,524113,Direct Life Insurance Carriers,0.989540756,
intuit.com,intuit.com,null,1,1,1076876197,Computer Software,0.477805078,51,Information,5112,Software Publishers,511210,Software Publishers,0.989502907,
mynavi.jp,mynavi.jp,null,1,null,1087590676,Staffing and Recruiting,0.636698425,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541612,Human Resources Consulting Services,0.988820374,
libertybroadband.com,libertybroadband.com,null,null,1,1084643427,Telecommunications,0.872599065,51,Information,5152,Cable and Other Subscription Programming,515210,Cable and Other Subscription Programming,0.988703013,
trendmicro.com,trendmicro.com,null,null,1,1075977347,Computer Software,0.505327404,51,Information,5112,Software Publishers,511210,Software Publishers,0.988625825,
lamar.com,lamar.com,null,null,1,1075573640,Marketing and Advertising,0.992101371,54,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",541850,Outdoor Advertising,0.988323331,
softwareag.com,softwareag.com,null,null,1,1075848820,Computer Software,0.587314069,51,Information,5112,Software Publishers,511210,Software Publishers,0.987537205,
drdgold.com,drdgold.com,null,null,1,1077906176,Mining & Metals,0.991219819,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.987507224,
randolphsavings.com,randolphsavings.com,null,null,1,1075358650,Financial Services,0.9955194,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.987320066,
dsv.com,dsv.com,null,null,1,1076483173,Logistics and Supply Chain,0.912809432,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541614,"Process, Physical Distribution, and Logistics Consulting Services",0.987308204,
grizzlygoldcorp.com,grizzlygoldcorp.com,null,null,1,1076821748,Mining & Metals,0.977601171,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.986614764,
outfrontmedia.com,outfrontmedia.com,null,null,1,1087279261,Marketing and Advertising,0.982121468,54,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",541850,Outdoor Advertising,0.986140013,
cobank.com,cobank.com,null,null,1,1075697292,Financial Services,0.95871371,52,Finance and Insurance,5222,Nondepository Credit Intermediation,522293,International Trade Financing,0.985921681,
marlingold.com,marlingold.com,null,null,1,1075108073,Mining & Metals,0.982937634,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.985849798,
anglogoldashanti.com,anglogoldashanti.com,null,null,1,1078589522,Mining & Metals,0.995897412,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.985660434,
prudentialsavingsbank.com,prudentialsavingsbank.com,null,null,1,1076885134,Financial Services,0.990312934,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.985361934,
weightwatchersinternational.com,weightwatchersinternational.com,null,null,1,1074190814,"Health, Wellness and Fitness",0.621200442,81,Other Services (except Public Administration),8121,Personal Care Services,812191,Diet and Weight Reducing Centers,0.984710753,
alacergold.com,alacergold.com,null,null,1,1076727561,Mining & Metals,0.998884022,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.98389858,
nwnatural.com,nwnatural.com,null,null,1,1074143927,Utilities,0.984380603,22,Utilities,2212,Natural Gas Distribution,221210,Natural Gas Distribution,0.983610153,
xe.com,xe.com,null,1,null,1073787870,Financial Services,0.78965497,52,Finance and Insurance,5231,Securities and Commodity Contracts Intermediation and Brokerage,523130,Commodity Contracts Dealing,0.983563781,
t-mobile.com,t-mobile.com,null,1,1,1073930696,Telecommunications,0.889480233,51,Information,5173,Wired and Wireless Telecommunications Carriers,517312,Wireless Telecommunications Carriers (except Satellite),0.983460784,
snclavalin.com,snclavalin.com,null,null,1,1075580104,Oil & Energy,0.433433741,54,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",541330,Engineering Services,0.983330071,
corvusgold.com,corvusgold.com,null,null,1,1077594340,Mining & Metals,0.872724533,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.982842624,
rsac.com,rsac.com,null,null,1,1073939840,Mining & Metals,0.974191964,42,Wholesale Trade,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,423510,Metal Service Centers and Other Metal Merchant Wholesalers,0.982418597,
moelis.com,moelis.com,null,null,1,1076007274,Financial Services,0.991298854,52,Finance and Insurance,5231,Securities and Commodity Contracts Intermediation and Brokerage,523110,Investment Banking and Securities Dealing,0.982396364,
mvportfolios.com,mvportfolios.com,null,null,1,1077483492,Internet,0.43590188,53,Real Estate and Rental and Leasing,5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),0.982250512,
orosur.ca,orosur.ca,null,null,1,1075187629,Mining & Metals,0.998545647,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.982072592,
idahonorthresources.com,idahonorthresources.com,null,null,1,1097819250,Mining & Metals,0.996667564,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.981877923,
magbank.com,magbank.com,null,null,1,1077049702,Financial Services,0.986831546,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.98181057,
gldd.com,gldd.com,null,null,1,1076995475,Civil Engineering,0.395408541,23,Construction,2379,Other Heavy and Civil Engineering Construction,237990,Other Heavy and Civil Engineering Construction,0.981733322,
spplus.com,spplus.com,null,null,1,1077204843,Facilities Services,0.938017428,81,Other Services (except Public Administration),8129,Other Personal Services,812930,Parking Lots and Garages,0.981681049,
delancofsb.com,delancofsb.com,null,null,1,1074527635,Financial Services,0.981614649,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.98166281,
rusoro.com,rusoro.com,null,null,1,1074513541,Mining & Metals,0.998860478,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.981548727,
goldenqueen.com,goldenqueen.com,null,null,1,1087357356,Mining & Metals,0.997545779,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.981477439,
htshc.com,htshc.com,null,null,1,1082088582,Financial Services,0.528061748,55,Management of Companies and Enterprises,5511,Management of Companies and Enterprises,551112,Offices of Other Holding Companies,0.981065691,
orionmarinegroup.com,orionmarinegroup.com,null,null,1,1076827889,Maritime,0.573696137,23,Construction,2379,Other Heavy and Civil Engineering Construction,237990,Other Heavy and Civil Engineering Construction,0.981039167,
nexstar.tv,nexstar.tv,null,null,1,1075192188,Media and Entertainment,0.667589903,51,Information,5151,Radio and Television Broadcasting,515120,Television Broadcasting,0.98088032,
evertonresources.com,evertonresources.com,null,null,1,1077211430,Mining & Metals,0.998129308,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.980627835,
groupe-gorge.com,groupe-gorge.com,null,null,1,1099392255,Mechanical or Industrial Engineering,0.560858131,54,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",541330,Engineering Services,0.98042804,
labcorp.com,labcorp.com,null,null,1,1074479859,Biotechnology,0.551361382,62,Health Care and Social Assistance,6215,Medical and Diagnostic Laboratories,621511,Medical Laboratories,0.979962945,
ussilica.com,ussilica.com,null,null,1,1074234170,Mining & Metals,0.977178097,21,"Mining, Quarrying, and Oil and Gas Extraction",2123,Nonmetallic Mineral Mining and Quarrying,212322,Industrial Sand Mining,0.979910851,
hh.ru,hh.ru,null,1,null,1079336348,Human Resources,0.647824645,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541612,Human Resources Consulting Services,0.979571343,
centralfederal.com,centralfederal.com,null,null,1,1076336525,Financial Services,0.985335231,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.979465306,
seadrill.com,seadrill.com,null,null,1,1075898057,Oil & Energy,0.981388092,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213111,Drilling Oil and Gas Wells,0.979337692,
ccccltd.cn,ccccltd.cn,null,null,1,1082227642,Civil Engineering,0.855152071,54,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",541330,Engineering Services,0.979254484,
williamhillplc.com,williamhillplc.com,null,null,1,1077672503,Gambling & Casinos,0.993723452,71,"Arts, Entertainment, and Recreation",7132,Gambling Industries,713210,Casinos (except Casino Hotels),0.979146302,
aaa.com,aaa.com,1,null,null,1076030282,Automotive,0.241799191,56,Administrative and Support and Waste Management and Remediation Services,5615,Travel Arrangement and Reservation Services,561599,All Other Travel Arrangement and Reservation Services,0.979098201,
amarillogold.com,amarillogold.com,null,null,1,1075129872,Mining & Metals,0.998093784,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.978124261,
amctheatres.com,amctheatres.com,null,null,1,1075090240,Media and Entertainment,0.838094056,51,Information,5121,Motion Picture and Video Industries,512131,Motion Picture Theaters (except Drive-Ins),0.977863848,
beaconroofingsupply.com,beaconroofingsupply.com,null,null,1,1076624047,Building Materials,0.967339218,42,Wholesale Trade,4233,Lumber and Other Construction Materials Merchant Wholesalers,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",0.977749884,
azargauranium.com,azargauranium.com,null,null,1,1083243702,Mining & Metals,0.992303789,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,0.977714121,
paylocity.com,paylocity.com,null,null,1,1076022077,Human Resources,0.454176545,54,"Professional, Scientific, and Technical Services",5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",541214,Payroll Services,0.977097094,
nxuranium.com,nxuranium.com,null,null,1,1099290365,Mining & Metals,0.876873791,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,0.976918221,
blackboard.com,blackboard.com,null,1,null,1075675141,Education,0.84152019,51,Information,5112,Software Publishers,511210,Software Publishers,0.976687312,
merlinentertainments.biz,merlinentertainments.biz,null,null,1,1077708196,"Leisure, Travel & Tourism",0.600108564,71,"Arts, Entertainment, and Recreation",7121,"Museums, Historical Sites, and Similar Institutions",712130,Zoos and Botanical Gardens,0.976632714,
abs-cbn.com,abs-cbn.com,null,1,null,1075015034,Media and Entertainment,0.981632352,51,Information,5151,Radio and Television Broadcasting,515120,Television Broadcasting,0.976262391,
suttergoldmining.com,suttergoldmining.com,null,null,1,1074170278,Mining & Metals,0.996307731,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.976125777,
layne.com,layne.com,null,null,1,1074349371,Mining & Metals,0.4203915,23,Construction,2371,Utility System Construction,237110,Water and Sewer Line and Related Structures Construction,0.975727797,
kinross.com,kinross.com,null,null,1,1076054236,Mining & Metals,0.992782593,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.975317895,
gsr.com,gsr.com,null,null,1,1077183606,Mining & Metals,0.995906591,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.97528857,
envirostarinc.com,envirostarinc.com,null,null,1,1074688198,Building Materials,0.563315809,42,Wholesale Trade,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",423850,Service Establishment Equipment and Supplies Merchant Wholesalers,0.975180507,
synnex.com,synnex.com,null,null,1,1077304330,Computer Hardware,0.72220099,56,Administrative and Support and Waste Management and Remediation Services,5614,Business Support Services,561422,Telemarketing Bureaus and Other Contact Centers,0.975102484,
performantcorp.com,performantcorp.com,null,null,1,1074118471,Financial Services,0.769296706,56,Administrative and Support and Waste Management and Remediation Services,5614,Business Support Services,561440,Collection Agencies,0.974867463,
willpenn.com,willpenn.com,null,null,1,1076582270,Financial Services,0.959358633,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.974661231,
detourgold.com,detourgold.com,null,null,1,1077277895,Mining & Metals,0.999342024,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.974560559,
jaguarmining.com,jaguarmining.com,null,null,1,1074667062,Mining & Metals,0.997767687,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.974256337,
washingtongas.com,washingtongas.com,null,null,1,1080200788,Utilities,0.5598405,22,Utilities,2212,Natural Gas Distribution,221210,Natural Gas Distribution,0.974253237,
intertek.com,intertek.com,null,null,1,1073790275,International Trade and Development,0.935612917,54,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",541380,Testing Laboratories,0.974230886,
parkerdrilling.com,parkerdrilling.com,null,null,1,1073893259,Oil & Energy,0.978280544,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213111,Drilling Oil and Gas Wells,0.974086762,
southerncoppercorp.com,southerncoppercorp.com,null,null,1,1075279620,Mining & Metals,0.982896149,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212230,"Copper, Nickel, Lead, and Zinc Mining",0.973873317,
libertyglobal.com,libertyglobal.com,null,null,1,1077025001,Telecommunications,0.887954176,51,Information,5152,Cable and Other Subscription Programming,515210,Cable and Other Subscription Programming,0.973694503,
mexusgoldus.com,mexusgoldus.com,null,null,1,1076025998,Mining & Metals,0.992088378,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.973689318,
icdrilling.com,icdrilling.com,null,null,1,1074631957,Oil & Energy,0.98811996,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213111,Drilling Oil and Gas Wells,0.973596096,
ottawasavings.com,ottawasavings.com,null,null,1,1074958854,Financial Services,0.992537916,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.973193169,
pershinggold.com,pershinggold.com,null,null,1,1077504388,Mining & Metals,0.998009384,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.973179519,
alamosgold.com,alamosgold.com,null,null,1,1074921569,Mining & Metals,0.996577442,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.973088324,
centrusenergy.com,centrusenergy.com,null,null,1,1082064361,Oil & Energy,0.599702835,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,0.972243369,
fsbbank.net,fsbbank.net,null,null,1,1080435769,Financial Services,0.98949486,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.972088099,
edgewaterx.com,edgewaterx.com,null,null,1,1098410060,Mining & Metals,0.994079828,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.971767724,
insperity.com,insperity.com,null,null,1,1076329357,Human Resources,0.959035873,56,Administrative and Support and Waste Management and Remediation Services,5613,Employment Services,561330,Professional Employer Organizations,0.971765459,
airtel.in,airtel.in,null,1,null,1077105501,Telecommunications,0.969259322,51,Information,5173,Wired and Wireless Telecommunications Carriers,517312,Wireless Telecommunications Carriers (except Satellite),0.971701622,
goldstandardv.com,goldstandardv.com,null,null,1,1074714721,Mining & Metals,0.997868538,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.97143656,
goldresourcecorp.com,goldresourcecorp.com,null,null,1,1073971771,Mining & Metals,0.995938659,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.971412778,
ene.com,ene.com,null,null,1,1076025703,Environmental Services,0.957557976,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541620,Environmental Consulting Services,0.971295714,
phxtech.com,phxtech.com,null,null,1,1076254394,Oil & Energy,0.99668318,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213111,Drilling Oil and Gas Wells,0.970557511,
cmport.com.hk,cmport.com.hk,null,null,1,1110257658,Logistics and Supply Chain,0.69179976,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541614,"Process, Physical Distribution, and Logistics Consulting Services",0.970110536,
apptio.com,apptio.com,null,null,1,1074828347,Computer Software,0.559709907,51,Information,5112,Software Publishers,511210,Software Publishers,0.970000744,
diamondoffshore.com,diamondoffshore.com,null,null,1,1074500662,Oil & Energy,0.995050371,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213111,Drilling Oil and Gas Wells,0.969955325,
thundermountaingold.com,thundermountaingold.com,null,null,1,1074425759,Mining & Metals,0.997956634,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.969694495,
bbgi.com,bbgi.com,null,null,1,1075299215,Media and Entertainment,0.793191075,51,Information,5151,Radio and Television Broadcasting,515111,Radio Networks,0.969393313,
wesco.com,wesco.com,null,null,1,1077407061,Wholesale,0.706750691,42,Wholesale Trade,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",0.969368994,
univar.com,univar.com,null,null,1,1079725229,Chemicals,0.996783495,42,Wholesale Trade,4246,Chemical and Allied Products Merchant Wholesalers,424690,Other Chemical and Allied Products Merchant Wholesalers,0.969193697,
idt.net,idt.net,null,null,1,1077325603,Telecommunications,0.979820967,51,Information,5179,Other Telecommunications,517911,Telecommunications Resellers,0.969061792,
troyres.com.au,troyres.com.au,null,null,1,1078451190,Mining & Metals,0.996921301,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.968801141,
opco.com,opco.com,null,null,1,1073813096,Financial Services,0.996656179,52,Finance and Insurance,5231,Securities and Commodity Contracts Intermediation and Brokerage,523110,Investment Banking and Securities Dealing,0.968289673,
force.com,force.com,null,1,null,1074440584,Computer Software,0.622981727,51,Information,5112,Software Publishers,511210,Software Publishers,0.967763603,
